,open,high,low,close,volume
2024-09-24 11:30:00,2775.29,2814.861,2775.29,2814.297,8900790700.0
2024-09-24 13:15:00,2815.232,2854.348,2815.232,2851.929,9637478300.0
2024-09-24 13:30:00,2815.232,2854.348,2815.232,2851.929,9637478300.0
2024-09-24 13:45:00,2815.232,2854.348,2815.232,2851.929,9637478300.0
2024-09-24 14:00:00,2851.961,2859.148,2843.247,2857.534,7859712000.0
2024-09-24 14:15:00,2851.961,2859.148,2843.247,2857.534,7859712000.0
2024-09-24 14:30:00,2851.961,2859.148,2843.247,2857.534,7859712000.0
2024-09-24 14:45:00,2851.961,2859.148,2843.247,2857.534,7859712000.0
2024-09-24 15:00:00,2857.285,2863.152,2855.726,2863.126,3209432300.0
2024-09-25 09:45:00,2901.419,2943.622,2901.419,2932.248,14954808800.0
2024-09-25 10:00:00,2931.95,2952.451,2921.751,2929.593,17978647100.0
2024-09-25 10:15:00,2931.95,2952.451,2921.751,2929.593,17978647100.0
2024-09-25 10:30:00,2931.95,2952.451,2921.751,2929.593,17978647100.0
2024-09-25 10:45:00,2931.95,2952.451,2921.751,2929.593,17978647100.0
2024-09-25 11:00:00,2929.638,2934.286,2907.37,2912.649,7065763100.0
2024-09-25 11:15:00,2929.638,2934.286,2907.37,2912.649,7065763100.0
2024-09-25 11:30:00,2929.638,2934.286,2907.37,2912.649,7065763100.0
2024-09-25 13:15:00,2912.479,2922.857,2896.546,2897.13,6665477500.0
2024-09-25 13:30:00,2912.479,2922.857,2896.546,2897.13,6665477500.0
2024-09-25 13:45:00,2912.479,2922.857,2896.546,2897.13,6665477500.0
2024-09-25 14:00:00,2897.173,2909.274,2889.048,2902.48,7393441100.0
2024-09-25 14:15:00,2897.173,2909.274,2889.048,2902.48,7393441100.0
2024-09-25 14:30:00,2897.173,2909.274,2889.048,2902.48,7393441100.0
2024-09-25 14:45:00,2897.173,2909.274,2889.048,2902.48,7393441100.0
2024-09-25 15:00:00,2902.734,2903.105,2895.032,2896.306,2767844000.0
2024-09-26 09:45:00,2893.745,2906.477,2889.014,2889.758,9667946900.0
2024-09-26 10:00:00,2890.573,2928.647,2890.319,2919.542,13779611900.0
2024-09-26 10:15:00,2890.573,2928.647,2890.319,2919.542,13779611900.0
2024-09-26 10:30:00,2890.573,2928.647,2890.319,2919.542,13779611900.0
2024-09-26 10:45:00,2890.573,2928.647,2890.319,2919.542,13779611900.0
2024-09-26 11:00:00,2919.496,2920.205,2910.69,2914.743,5169648900.0
2024-09-26 11:15:00,2919.496,2920.205,2910.69,2914.743,5169648900.0
2024-09-26 11:30:00,2919.496,2920.205,2910.69,2914.743,5169648900.0
2024-09-26 13:15:00,2914.517,2961.421,2914.517,2955.928,10876003100.0
2024-09-26 13:30:00,2914.517,2961.421,2914.517,2955.928,10876003100.0
2024-09-26 13:45:00,2914.517,2961.421,2914.517,2955.928,10876003100.0
2024-09-26 14:00:00,2956.211,2988.575,2956.002,2988.307,13339692800.0
2024-09-26 14:15:00,2956.211,2988.575,2956.002,2988.307,13339692800.0
2024-09-26 14:30:00,2956.211,2988.575,2956.002,2988.307,13339692800.0
2024-09-26 14:45:00,2956.211,2988.575,2956.002,2988.307,13339692800.0
2024-09-26 15:00:00,2988.913,3000.953,2988.595,3000.953,4799022500.0
2024-09-27 09:45:00,3049.103,3067.408,3022.184,3022.184,16550185300.0
2024-09-27 10:00:00,3021.832,3046.85,3017.445,3030.92,10939907200.0
2024-09-27 10:15:00,3021.832,3046.85,3017.445,3030.92,10939907200.0
2024-09-27 10:30:00,3021.832,3046.85,3017.445,3030.92,10939907200.0
2024-09-27 10:45:00,3021.832,3046.85,3017.445,3030.92,10939907200.0
